Success Rate (%),Average Cost,Standard Deviation,Average Execution Time (s),Parameters,Dataset
100.0,19280.5,599.6444363120532,0.006471371650695801,"(1000, 0.95, 500, 0.001, 500, 1000)",datasets/sppnw41.txt
100.0,40819.5,13841.404265825055,0.014662790298461913,"(1000, 0.95, 500, 0.001, 500, 10000)",datasets/sppnw41.txt
100.0,349112.7,90042.95107230771,0.019631576538085938,"(1000, 0.95, 500, 0.001, 500, 100000)",datasets/sppnw41.txt
100.0,18195.0,1621.4677301753495,0.009988689422607422,"(1000, 0.95, 500, 0.001, 1000, 1000)",datasets/sppnw41.txt
100.0,41901.0,14845.74462935423,0.014737510681152343,"(1000, 0.95, 500, 0.001, 1000, 10000)",datasets/sppnw41.txt
100.0,306668.0,144849.51341029766,0.016306972503662108,"(1000, 0.95, 500, 0.001, 1000, 100000)",datasets/sppnw41.txt
100.0,18424.5,1263.0936821946343,0.008029603958129882,"(1000, 0.95, 500, 0.001, 2000, 1000)",datasets/sppnw41.txt
100.0,52444.0,11222.768784930036,0.01304471492767334,"(1000, 0.95, 500, 0.001, 2000, 10000)",datasets/sppnw41.txt
100.0,220700.6,148190.089846926,0.018091893196105956,"(1000, 0.95, 500, 0.001, 2000, 100000)",datasets/sppnw41.txt
100.0,18842.4,2161.9542640860836,0.007325649261474609,"(1000, 0.95, 500, 0.0001, 500, 1000)",datasets/sppnw41.txt
100.0,40735.7,15562.587433007406,0.01825399398803711,"(1000, 0.95, 500, 0.0001, 500, 10000)",datasets/sppnw41.txt
100.0,258294.9,124412.68485524294,0.015104579925537109,"(1000, 0.95, 500, 0.0001, 500, 100000)",datasets/sppnw41.txt
100.0,18650.9,1202.995299242686,0.009001493453979492,"(1000, 0.95, 500, 0.0001, 1000, 1000)",datasets/sppnw41.txt
100.0,53938.0,12754.750197475449,0.022671031951904296,"(1000, 0.95, 500, 0.0001, 1000, 10000)",datasets/sppnw41.txt
100.0,341097.8,146579.3447439304,0.018464040756225587,"(1000, 0.95, 500, 0.0001, 1000, 100000)",datasets/sppnw41.txt
100.0,18774.3,854.1412119784409,0.007565498352050781,"(1000, 0.95, 500, 0.0001, 2000, 1000)",datasets/sppnw41.txt
100.0,48356.1,10866.333700471378,0.013558769226074218,"(1000, 0.95, 500, 0.0001, 2000, 10000)",datasets/sppnw41.txt
100.0,329836.9,130043.40021042975,0.015151000022888184,"(1000, 0.95, 500, 0.0001, 2000, 100000)",datasets/sppnw41.txt
100.0,18112.3,1438.0703077388116,0.009951019287109375,"(1000, 0.95, 500, 1e-05, 500, 1000)",datasets/sppnw41.txt
100.0,53879.5,10174.098684895876,0.017173218727111816,"(1000, 0.95, 500, 1e-05, 500, 10000)",datasets/sppnw41.txt
100.0,358537.3,112072.51709232733,0.017110705375671387,"(1000, 0.95, 500, 1e-05, 500, 100000)",datasets/sppnw41.txt
100.0,18306.4,1768.6241093007864,0.009848189353942872,"(1000, 0.95, 500, 1e-05, 1000, 1000)",datasets/sppnw41.txt
100.0,46485.6,12530.911365100308,0.015194082260131836,"(1000, 0.95, 500, 1e-05, 1000, 10000)",datasets/sppnw41.txt
100.0,279695.9,125889.93865313464,0.018689513206481934,"(1000, 0.95, 500, 1e-05, 1000, 100000)",datasets/sppnw41.txt
100.0,17204.7,2119.849855532226,0.011408305168151856,"(1000, 0.95, 500, 1e-05, 2000, 1000)",datasets/sppnw41.txt
100.0,44336.8,11579.036080779782,0.021120190620422363,"(1000, 0.95, 500, 1e-05, 2000, 10000)",datasets/sppnw41.txt
100.0,220649.0,132718.9983619527,0.018572783470153807,"(1000, 0.95, 500, 1e-05, 2000, 100000)",datasets/sppnw41.txt
100.0,18610.9,1682.076124912306,0.0104111909866333,"(1000, 0.95, 1000, 0.001, 500, 1000)",datasets/sppnw41.txt
100.0,44606.7,12952.164321456086,0.034684610366821286,"(1000, 0.95, 1000, 0.001, 500, 10000)",datasets/sppnw41.txt
100.0,241692.4,153287.9484905451,0.03401961326599121,"(1000, 0.95, 1000, 0.001, 500, 100000)",datasets/sppnw41.txt
100.0,19140.6,1000.1548080172388,0.006371998786926269,"(1000, 0.95, 1000, 0.001, 1000, 1000)",datasets/sppnw41.txt
100.0,43584.4,11721.263218612574,0.034442472457885745,"(1000, 0.95, 1000, 0.001, 1000, 10000)",datasets/sppnw41.txt
100.0,360686.2,131986.8194061816,0.030084061622619628,"(1000, 0.95, 1000, 0.001, 1000, 100000)",datasets/sppnw41.txt
100.0,19067.8,1035.7548744756164,0.010250997543334962,"(1000, 0.95, 1000, 0.001, 2000, 1000)",datasets/sppnw41.txt
100.0,41725.8,14999.672975101823,0.03387637138366699,"(1000, 0.95, 1000, 0.001, 2000, 10000)",datasets/sppnw41.txt
100.0,250115.3,178479.1232957233,0.04177060127258301,"(1000, 0.95, 1000, 0.001, 2000, 100000)",datasets/sppnw41.txt
100.0,19250.9,744.8702504463445,0.007372093200683594,"(1000, 0.95, 1000, 0.0001, 500, 1000)",datasets/sppnw41.txt
100.0,39352.4,10717.228878772721,0.03425829410552979,"(1000, 0.95, 1000, 0.0001, 500, 10000)",datasets/sppnw41.txt
100.0,332983.9,140672.07486949925,0.038002300262451175,"(1000, 0.95, 1000, 0.0001, 500, 100000)",datasets/sppnw41.txt
100.0,18491.8,1813.4485269783645,0.011230993270874023,"(1000, 0.95, 1000, 0.0001, 1000, 1000)",datasets/sppnw41.txt
100.0,42800.4,11660.299466137221,0.03413479328155518,"(1000, 0.95, 1000, 0.0001, 1000, 10000)",datasets/sppnw41.txt
100.0,250553.3,141625.0668476806,0.03920571804046631,"(1000, 0.95, 1000, 0.0001, 1000, 100000)",datasets/sppnw41.txt
100.0,18905.5,891.2200906622337,0.011906242370605469,"(1000, 0.95, 1000, 0.0001, 2000, 1000)",datasets/sppnw41.txt
100.0,46707.4,12697.438766932488,0.031786108016967775,"(1000, 0.95, 1000, 0.0001, 2000, 10000)",datasets/sppnw41.txt
100.0,149172.7,131542.77853386707,0.042146921157836914,"(1000, 0.95, 1000, 0.0001, 2000, 100000)",datasets/sppnw41.txt
100.0,19241.1,759.0900407725029,0.008361220359802246,"(1000, 0.95, 1000, 1e-05, 500, 1000)",datasets/sppnw41.txt
100.0,50851.9,13971.937585388792,0.03083968162536621,"(1000, 0.95, 1000, 1e-05, 500, 10000)",datasets/sppnw41.txt
100.0,296380.0,182539.61674332505,0.02709977626800537,"(1000, 0.95, 1000, 1e-05, 500, 100000)",datasets/sppnw41.txt
100.0,19142.7,874.6686286817426,0.008432507514953613,"(1000, 0.95, 1000, 1e-05, 1000, 1000)",datasets/sppnw41.txt
100.0,44043.6,12137.013316298206,0.02706472873687744,"(1000, 0.95, 1000, 1e-05, 1000, 10000)",datasets/sppnw41.txt
100.0,181643.2,177380.30255008588,0.034495186805725095,"(1000, 0.95, 1000, 1e-05, 1000, 100000)",datasets/sppnw41.txt
100.0,18195.0,1799.8297697282374,0.01228475570678711,"(1000, 0.95, 1000, 1e-05, 2000, 1000)",datasets/sppnw41.txt
100.0,51508.2,13230.563629717366,0.02331690788269043,"(1000, 0.95, 1000, 1e-05, 2000, 10000)",datasets/sppnw41.txt
100.0,321000.6,135079.16786107325,0.04197089672088623,"(1000, 0.95, 1000, 1e-05, 2000, 100000)",datasets/sppnw41.txt
100.0,18275.0,1618.812589523568,0.006388068199157715,"(1000, 0.95, 2000, 0.001, 500, 1000)",datasets/sppnw41.txt
100.0,40438.4,13883.857793855424,0.0458251953125,"(1000, 0.95, 2000, 0.001, 500, 10000)",datasets/sppnw41.txt
100.0,210465.7,134125.8548685152,0.04022390842437744,"(1000, 0.95, 2000, 0.001, 500, 100000)",datasets/sppnw41.txt
100.0,18424.9,1822.9938261003522,0.017670321464538574,"(1000, 0.95, 2000, 0.001, 1000, 1000)",datasets/sppnw41.txt
100.0,50603.5,11567.585463267606,0.034465789794921875,"(1000, 0.95, 2000, 0.001, 1000, 10000)",datasets/sppnw41.txt
